Name,Lat,Long,Country,Pop,,
HIGASHI DORI,41.188056,141.390278,JAPAN,"41,489",,
IKATA,33.491289,132.309631,JAPAN,"106,158",,
JPDR,36.458461,140.606342,JAPAN,"885,597",,
KASHIWAZAKI KARIWA,37.431451,138.597852,JAPAN,"384,734",,
MIHAMA,35.70253,135.963167,JAPAN,"305,120",,
MONJU,35.740278,135.988056,JAPAN,"305,120",,
OHI,35.541057,135.653948,JAPAN,"145,051",,
OHMA,41.509722,140.910278,JAPAN,"71,603",,
ONAGAWA,38.4,141.5,JAPAN,"210,387",JAPAN,"210,387"
SENDAI,31.833542,130.189984,JAPAN,"213,876",,
SHIKA,37.05999,136.726869,JAPAN,"179,300",,
SHIMANE,35.539583,132.997495,JAPAN,"360,254",,
TAKAHAMA,35.522563,135.504677,JAPAN,"145,051",,
TOKAI,36.466624,140.609604,JAPAN,"885,597",,
TOMARI,43.03592,140.513203,JAPAN,"67,869",,
TSURUGA,35.7497,136.021,JAPAN,"305,120",,
BN-350,43.607,51.283,KAZAKHSTAN,"124,347",,
KORI,35.321269,129.294517,KOREA,"3,321,550",,
SHIN-WOLSONG,35.721747,129.478471,KOREA,"399,552",,
ULCHIN,37.093025,129.383285,KOREA,"77,007",,
WOLSONG,35.711463,129.474808,KOREA,"399,552",,
YONGGWANG,35.41113,126.41619,KOREA,"112,865",,
IGNALINA,55.604444,26.56,LITHUANIA,"75,120",,
LAGUNA VERDE,19.720238,-96.405252,MEXICO,"73,915",,
BORSSELE,51.431623,3.717595,NETHERLANDS,"426,289",,
DODEWARRD,51.899722,5.686111,NETHERLANDS,"1,462,532",,
CHASNUPP,32.390929,71.463095,PAKISTAN,"726,873",,
KANUPP,24.845343,66.788517,PAKISTAN,"5,991,595",,
CERNAVODA,44.322169,28.058041,ROMANIA,"155,027",,
BALAKOVO,52.092935,47.956762,RUSSIA,"129,591",,
BELOYARSKY,56.85,61.3167,RUSSIA,"243,469",,
BILIBINO,68.050658,166.539698,RUSSIA,127,,
KALININ,57.90525,35.062775,RUSSIA,"79,267",,
